"food_id","name","category","diet_type","meal_type","best_time_window","quantity","quantity_unit","calories","protein_g","carbs_g","fat_g","fiber_g","iron_mg","calcium_mg","sodium_mg","potassium_mg","vitamin_d_mcg","sugars_g","glycemic_index","health_score","tags","goal_tags","common_allergies","preparation_method","doctor_note","avoid_for","ayurvedic_property","digestibility","best_paired_with","state_origin"
1,"Roti (Whole Wheat)","carb","veg","breakfast;lunch;dinner","7-9 AM / 12-2 PM / 7-8 PM",2.0,"pieces",180,6.0,36.0,2.0,4.0,2.5,30,5,110,0.0,0.5,"low",9,"wheat;gluten;whole-grain","fat_loss;maintenance;muscle_gain","gluten","dry roasted on tawa","Prefer whole wheat; limit to 2-3 per meal; no maida","maida intolerance;celiac","warm","easy","dal;sabzi;curd","Pan-India"
2,"Basmati Rice (cooked)","carb","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",205,4.0,45.0,0.4,1.0,0.3,16,1,54,0.0,0.0,"medium",7,"rice;gluten-free","fat_loss;maintenance;muscle_gain","none","boiled","Prefer brown rice for fat loss; limit to 1 cup; eat with dal","diabetes (large qty)","neutral","moderate","dal;sambar;rajma","Pan-India"
3,"Brown Rice (cooked)","carb","veg","lunch;dinner","12-2 PM / 7-8 PM",1.0,"cup",216,5.0,45.0,2.0,4.0,0.8,20,7,150,0.0,0.0,"medium",9,"rice;healthy;high-fiber;gluten-free","fat_loss;maintenance;muscle_gain","none","boiled","Better than white rice; high fiber; good for diabetics","none","neutral","easy","dal;sabzi;yogurt","Pan-India"
4,"Poha (flattened rice)","carb","veg","breakfast","7-9 AM",1.0,"cup cooked",250,4.0,52.0,3.0,2.0,2.7,15,400,100,0.0,1.2,"medium",8,"rice;light;iron-rich","fat_loss;maintenance","none","stir-fried with veggies","Excellent breakfast; light on stomach; add veggies and peanuts","none","neutral","easy","green chutney;curd","Maharashtra;MP"
5,"Upma (semolina)","carb","veg","breakfast","7-9 AM",1.0,"cup",200,5.0,38.0,4.0,3.0,1.5,14,600,90,0.0,1.0,"medium",7,"wheat;semolina;gluten","maintenance;muscle_gain","gluten","stir-fried","Add vegetables for nutrients; moderate portion","celiac;gluten intolerance","warm","moderate","sambar;coconut chutney","South India"
6,"Dalia (broken wheat porridge)","carb","veg","breakfast","7-9 AM",1.0,"cup cooked",150,5.0,33.0,1.0,5.0,1.1,30,8,120,0.0,0.3,"low",10,"wheat;high-fiber;gluten","fat_loss;maintenance;diabetes_friendly","gluten","pressure-cooked","Best breakfast for diabetics and weight loss; high fiber","celiac","neutral","easy","milk;vegetables;jaggery","North India"
7,"Idli (steamed)","carb","veg","breakfast","7-9 AM",3.0,"pieces",150,5.0,30.0,1.0,2.0,1.0,18,400,70,0.0,0.5,"low",9,"rice;fermented;probiotic;low-fat","fat_loss;maintenance","none","steamed","Fermented food; good for gut; low-calorie; light","none","cool","easy","sambar;coconut chutney","South India"
8,"Dosa (plain)","carb","veg","breakfast","7-9 AM",1.0,"large",168,4.0,32.0,4.0,2.0,1.2,12,350,80,0.0,0.5,"medium",8,"rice;fermented;gluten-free","maintenance","none","pan-fried","Use minimal oil; fermented = good gut health","none","neutral","moderate","sambar;chutney","South India"
9,"Paratha (plain)","carb","veg","breakfast","7-9 AM",1.0,"piece",200,4.0,28.0,8.0,3.0,1.5,20,300,70,0.0,0.3,"medium",6,"wheat;gluten","maintenance;muscle_gain","gluten","pan-fried","Use minimal ghee; stuffed paratha with veggies is healthier","obesity;heart disease","warm","moderate","curd;pickle","North India"
10,"Bread (whole wheat)","carb","veg","breakfast","7-9 AM",2.0,"slices",138,7.0,26.0,2.0,4.0,2.0,40,240,120,0.0,3.0,"medium",7,"wheat;gluten;whole-grain","fat_loss;maintenance","gluten","toasted","Choose 100% whole wheat; avoid white bread","celiac","neutral","easy","eggs;peanut butter","Pan-India"
11,"Oats (rolled cooked)","carb","veg","breakfast","7-9 AM",1.0,"cup cooked",150,5.0,27.0,3.0,4.0,2.0,20,115,150,0.0,0.5,"low",10,"oats;high-fiber;beta-glucan","fat_loss;maintenance;muscle_gain;diabetes_friendly;heart_healthy","gluten","boiled with milk or water","Best cholesterol-lowering food; eat daily for heart health","gluten intolerance","neutral","easy","fruits;nuts;milk","Pan-India"
12,"Muesli (no sugar)","carb","veg","breakfast","7-9 AM",50.0,"grams dry",185,6.0,30.0,5.0,4.0,2.0,50,60,200,0.0,4.0,"low",8,"oats;nuts;dry-fruits","maintenance","gluten;nuts","soaked or dry","No-sugar variant; soaked overnight is best","celiac;nut allergy","neutral","easy","milk;yogurt","Pan-India"
13,"Besan Chilla (gram flour pancake)","protein","veg","breakfast","7-9 AM",2.0,"pieces",180,10.0,22.0,5.0,4.0,2.2,30,400,150,0.0,1.0,"low",9,"legume;gluten-free;high-protein","fat_loss;maintenance;muscle_gain","none","pan-fried","High-protein breakfast; add onion tomato green chilli","none","warm","easy","green chutney;curd","Rajasthan;Gujarat"
14,"Moong Dal Chilla","protein","veg","breakfast","7-9 AM",2.0,"pieces",160,10.0,20.0,3.0,5.0,2.5,35,300,120,0.0,0.8,"low",10,"legume;gluten-free;high-protein","fat_loss;maintenance;muscle_gain","none","soaked+ground+pan-fried","Best protein-rich breakfast; very light and digestible","none","cool","easy","curd;green chutney","Pan-India"
15,"Uttapam (thick dosa with veggies)","carb","veg","breakfast","7-9 AM",2.0,"medium",230,7.0,38.0,5.0,3.0,1.5,25,450,90,0.0,1.5,"medium",8,"rice;fermented;vegetables","maintenance","none","pan-fried","Add onion tomato capsicum; fermented for gut health","none","neutral","moderate","sambar;chutney","South India"
16,"Puttu (steamed rice cake)","carb","veg","breakfast","7-9 AM",2.0,"cylinders",300,6.0,58.0,2.0,3.0,1.0,20,10,100,0.0,0.5,"medium",7,"rice;steamed;traditional","maintenance","none","steamed","Very low-fat; high-carb; pair with kadala curry","none","neutral","easy","kadala curry;banana","Kerala"
17,"Appam","carb","veg","breakfast","7-9 AM",2.0,"pieces",180,4.0,35.0,3.0,2.0,0.8,12,200,80,0.0,0.5,"medium",7,"rice;fermented;coconut","maintenance","none","pan-fried","Fermented; light; pair with vegetable stew","none","cool","easy","veg stew;coconut milk curry","Kerala"
18,"Pesarattu (moong dosa)","protein","veg","breakfast","7-9 AM",2.0,"pieces",175,9.0,28.0,3.0,5.0,2.0,30,250,90,0.0,0.8,"low",10,"legume;gluten-free;protein-rich","fat_loss;maintenance;muscle_gain","none","pan-fried","Green moong dal dosa; loaded with protein; very healthy","none","cool","easy","ginger chutney","Andhra Pradesh;Telangana"
19,"Dhokla (steamed)","protein","veg","breakfast;snack","7-9 AM / 4-5 PM",4.0,"pieces",160,8.0,24.0,3.0,3.0,1.8,40,600,90,0.0,1.5,"low",8,"legume;fermented;steamed;gluten-free","fat_loss;maintenance","none","steamed","Low-fat steamed snack; high protein; good for weight loss","high sodium","cool","easy","green chutney","Gujarat"
